香港频道,#genre# 
Berita Satu,http://192.168.31.4:8083/stv.php?id=BeritaSatu_eko
Indosiar HD,http://192.168.31.4:8083/stv.php?id=Indosiar
AnTV,http://192.168.31.4:8083/stv.php?id=Antv
MNC TV,http://192.168.31.4:8083/stv.php?id=Mnctv
Trans 7,http://192.168.31.4:8083/stv.php?id=Trans7_eko
Transtv,http://192.168.31.4:8083/stv.php?id=Transtv
JTV,http://192.168.31.4:8083/stv.php?id=JTV_eko
Metro TV,http://192.168.31.4:8083/stv.php?id=metrotv_eko
SCTV,http://192.168.31.4:8083/stv.php?id=SCTV
Tvone,http://192.168.31.4:8083/stv.php?id=Tvone
TVMU,http://192.168.31.4:8083/stv.php?id=TVMU_eko
GTV,http://192.168.31.4:8083/stv.php?id=Gtv
RTV,http://192.168.31.4:8083/stv.php?id=Rtv
Jak TV,http://192.168.31.4:8083/stv.php?id=JakTV
iNews TV,http://192.168.31.4:8083/stv.php?id=Inewstv
Daai TV,http://192.168.31.4:8083/stv.php?id=DaaiTV
Net TV,http://192.168.31.4:8083/stv.php?id=NetTV
EWTN,http://192.168.31.4:8083/stv.php?id=Ewtn
AlQuran AlKareem,http://192.168.31.4:8083/stv.php?id=AlQuran
Tawaf TV,http://192.168.31.4:8083/stv.php?id=TawafTV
Vision Prime,http://192.168.31.4:8083/stv.php?id=VisionPrime
Muslim TV,http://192.168.31.4:8083/stv.php?id=MuslimTV
Music TV,http://192.168.31.4:8083/stv.php?id=MusicTV
Lifestyle&Fashion,http://192.168.31.4:8083/stv.php?id=Lifestyle
Entertain,http://192.168.31.4:8083/stv.php?id=Entertain

印度频道,#genre# 
Sun TV HD,http://192.168.31.4:8083/stv.php?id=Suntv
Star Vijay,http://192.168.31.4:8083/stv.php?id=Starvijay
Colors Tamil,http://192.168.31.4:8083/stv.php?id=Colorstam
Sun Music,http://192.168.31.4:8083/stv.php?id=Sunmusic
Astro Sunlife,http://192.168.31.4:8083/stv.php?id=Sunlife
Astro Vaanavil,http://192.168.31.4:8083/stv.php?id=Vaanavil
Zee Tamil,http://192.168.31.4:8083/stv.php?id=Zeetamil
Zee Business,http://192.168.31.4:8083/stv.php?id=Zeebusiness
News 18 Tamil,http://192.168.31.4:8083/stv.php?id=news18tamil_raj
Adithya,http://192.168.31.4:8083/stv.php?id=Adithya
Makkal TV,http://192.168.31.4:8083/stv.php?id=Makkaltv
Zee Action,http://192.168.31.4:8083/stv.php?id=Zeeaction
Astro KTV,http://192.168.31.4:8083/stv.php?id=Astroktv
Zee TV HD,http://192.168.31.4:8083/stv.php?id=Zeetvhd
Zee Cinema HD,http://192.168.31.4:8083/stv.php?id=Zeecinemahd
Color HD,http://192.168.31.4:8083/stv.php?id=Colorhd
